Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,housePriceIndex,averagePrice,percentageChangeMonthly,percentageAnnualChange
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-12,72822,monthly,87.61,167048,-0.42,-0.98
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-05,77967,monthly,89.81,171234,0.53,1.69
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-06,77812,monthly,90.55,172655,0.83,1.53
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-07,85692,monthly,91.57,174592,1.12,2.28
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-01,32752,monthly,82.47,157234,-2.31,-15.37
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-08,92501,monthly,92.3,175982,0.8,2.97
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-02,33218,monthly,81.51,155417,-1.16,-15.62
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-09,82023,monthly,92.36,176098,0.07,3.41
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-10,122098,monthly,99.44,189589,-0.23,9.12
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-03,43308,monthly,81.01,154452,-0.62,-15.53
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-11,121078,monthly,99.38,189489,-0.05,8.5
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-04,47263,monthly,81.74,155852,0.91,-14.9
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-12,97912,monthly,99.23,189193,-0.16,7.0
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-05,54185,monthly,82.87,158004,1.38,-14.25
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-06,62613,monthly,83.69,159561,0.99,-12.25
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-07,73493,monthly,85.19,162423,1.79,-9.69
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-08,68125,monthly,86.03,164025,0.99,-6.85
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-01,78627,monthly,93.45,178182,0.12,6.24
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-09,68413,monthly,86.7,165314,0.79,-3.7
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-02,77508,monthly,93.84,178921,0.41,6.7
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-10,69354,monthly,88.68,169090,-0.71,0.84
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-03,81376,monthly,94.16,179537,0.34,6.44
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-11,74805,monthly,88.76,169227,0.08,0.88
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-04,85557,monthly,96.26,183532,2.23,7.75
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-12,66307,monthly,88.55,168843,-0.23,1.07
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-05,94248,monthly,97.28,185476,1.06,8.32
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-06,97503,monthly,98.12,187077,0.86,8.35
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-07,100944,monthly,99.5,189709,1.41,8.66
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-08,105336,monthly,100.66,191932,1.17,9.06
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-09,94568,monthly,100.77,192138,0.11,9.11
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-10,54904,monthly,88.21,168177,-2.03,-11.29
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-11,44543,monthly,85.72,163447,-2.81,-13.74
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-12,47872,monthly,84.42,160954,-1.53,-14.93
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-01,69896,monthly,100.0,190665,-0.52,7.01
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-02,70147,monthly,100.09,190827,0.09,6.65
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-10,91792,monthly,91.98,175378,-0.41,3.72
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-03,80746,monthly,100.46,191537,0.37,6.68
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-11,99078,monthly,92.49,176352,0.55,4.21
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-04,78765,monthly,101.34,193225,0.88,5.28
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-12,93910,monthly,93.34,177971,0.92,5.41
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-05,89669,monthly,102.44,195313,1.08,5.3
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-06,100504,monthly,103.22,196802,0.76,5.2
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-07,110102,monthly,104.97,200142,1.7,5.5
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-08,100419,monthly,105.93,201973,0.92,5.23
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-09,98440,monthly,106.15,202389,0.21,5.34
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-10,76806,monthly,87.29,166425,0.67,-1.04
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-11,71550,monthly,87.58,166986,0.34,2.17
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-01,42754,monthly,87.83,167469,-0.36,6.51
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2009-12,89592,monthly,88.16,168082,0.66,4.43
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-02,49017,monthly,88.05,167888,0.25,8.02
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-03,59716,monthly,88.05,167878,-0.01,8.69
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-04,61352,monthly,89.18,170028,1.28,9.1
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-01,75044,monthly,107.76,205462,0.26,7.76
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-05,60892,monthly,89.61,170846,0.48,8.13
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-02,79992,monthly,107.83,205590,0.06,7.74
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-06,72734,monthly,90.05,171689,0.49,7.6
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-10,104082,monthly,100.62,191855,-0.15,9.39
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-03,142209,monthly,108.75,207339,0.85,8.25
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-07,77807,monthly,90.96,173427,1.01,6.77
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-11,90040,monthly,100.29,191209,-0.34,8.43
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-04,67097,monthly,109.32,208443,0.53,7.88
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-08,70927,monthly,90.95,173417,-0.01,5.73
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-12,92815,monthly,100.53,191669,0.24,7.7
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-09,66690,monthly,90.72,172972,-0.26,4.63
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-01,43999,monthly,87.75,167300,-0.83,-0.1
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-02,45807,monthly,87.28,166415,-0.53,-0.88
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-05,75417,monthly,110.6,210872,1.17,7.97
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-06,91718,monthly,111.65,212887,0.96,8.17
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-07,97176,monthly,112.83,215127,1.05,7.49
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-08,98386,monthly,112.84,215145,0.01,6.52
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-09,95699,monthly,112.67,214816,-0.15,6.14
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-10,89212,monthly,112.31,214140,-0.31,5.66
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-11,92712,monthly,112.8,215064,0.43,5.31
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-12,98113,monthly,113.05,215543,0.22,5.18
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-01,71640,monthly,112.86,215190,-0.16,4.73
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-02,73980,monthly,113.02,215487,0.14,4.81
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-03,90928,monthly,112.85,215162,-0.15,3.77
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-04,77696,monthly,114.55,218402,1.51,4.78
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-05,82655,monthly,115.37,219964,0.72,4.31
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-06,90158,monthly,117.04,223147,1.45,4.82
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-07,82384,monthly,118.15,225267,0.95,4.71
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-08,,monthly,118.23,225431,0.07,4.78
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-09,,monthly,118.72,226367,0.42,5.38
