Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,housePriceIndex,averagePrice,percentageChangeMonthly,percentageAnnualChange
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-10,10926,monthly,109.34,440484,0.17,9.49
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2011-07,8742,monthly,73.44,295843,3.48,1.05
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-10,5225,monthly,66.28,266999,-3.43,-10.57
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-11,9752,monthly,110.58,445485,1.14,11.15
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2011-08,8998,monthly,73.2,294903,-0.32,1.46
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-11,4078,monthly,64.2,258647,-3.13,-13.1
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-12,9700,monthly,111.72,450053,1.03,11.7
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2011-09,8707,monthly,73.32,295358,0.15,1.81
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-12,4505,monthly,63.02,253881,-1.84,-14.8
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-01,6531,monthly,73.07,294360,0.71,2.21
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-02,6659,monthly,72.58,292381,-0.67,2.51
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2010-10,7871,monthly,71.03,286131,-1.37,6.46
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-03,9099,monthly,72.08,290379,-0.69,1.14
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2010-11,7663,monthly,70.07,282290,-1.34,5.79
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-04,5961,monthly,74.24,299065,2.99,1.73
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2010-12,7448,monthly,70.83,285353,1.09,5.64
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-05,7374,monthly,75.48,304081,1.68,6.8
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-06,8132,monthly,76.16,306823,0.9,7.32
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-07,8751,monthly,76.69,308962,0.7,4.43
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2009-10,8449,monthly,66.72,268780,0.48,0.67
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-08,9073,monthly,76.96,310043,0.35,5.13
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2009-11,7962,monthly,66.24,266837,-0.72,3.17
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-09,7906,monthly,76.57,308469,-0.51,4.44
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2009-12,9500,monthly,67.05,270118,1.23,6.4
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-01,6834,monthly,77.29,311364,-0.76,5.78
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-02,6693,monthly,77.83,313550,0.7,7.24
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2011-10,7871,monthly,72.55,292267,-1.05,2.14
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-03,7663,monthly,77.52,312289,-0.4,7.55
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2011-11,7956,monthly,72.24,291036,-0.42,3.1
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-04,7388,monthly,79.66,320921,2.76,7.31
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2011-12,8217,monthly,72.55,292284,0.43,2.43
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-05,9010,monthly,80.01,322324,0.44,6.0
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-06,8930,monthly,80.56,324518,0.68,5.77
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-07,10889,monthly,82.66,332988,2.61,7.78
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-08,11153,monthly,83.34,335743,0.83,8.29
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-09,10276,monthly,84.52,340494,1.42,10.38
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-01,9966,monthly,88.33,355830,1.08,14.28
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-01,12794,monthly,66.44,267658,1.2,11.6
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-02,9363,monthly,88.84,357876,0.58,14.14
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-02,12194,monthly,67.22,270780,1.17,13.24
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-10,8146,monthly,77.02,310281,0.59,6.16
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-03,9537,monthly,89.71,361400,0.98,15.73
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-03,14546,monthly,67.89,273479,1.0,13.3
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-11,8626,monthly,76.59,308540,-0.56,6.01
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-04,9809,monthly,93.17,375337,3.86,16.96
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-04,12568,monthly,69.21,278805,1.95,13.58
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2012-12,7601,monthly,77.88,313744,1.69,7.34
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-05,10155,monthly,95.0,382705,1.96,18.73
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-05,14059,monthly,70.18,282726,1.41,14.19
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-06,10486,monthly,96.11,387182,1.17,19.31
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-06,15799,monthly,70.98,285958,1.14,13.74
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-07,11340,monthly,98.98,398737,2.98,19.75
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-07,16037,monthly,73.4,295694,3.4,16.47
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-08,11243,monthly,100.47,404754,1.51,20.56
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-08,16824,monthly,73.89,297653,0.66,15.95
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2014-09,10437,monthly,100.2,403670,-0.27,18.55
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2007-09,13748,monthly,74.08,298414,0.26,15.87
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-05,6617,monthly,116.05,467485,1.39,12.43
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-06,8464,monthly,116.2,468120,0.14,11.6
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-07,8794,monthly,118.04,475530,1.58,10.17
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-08,8535,monthly,117.16,471957,-0.75,8.21
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-09,8275,monthly,117.11,471767,-0.04,7.29
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-10,8094,monthly,116.99,471280,-0.1,6.99
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-11,8162,monthly,116.85,470717,-0.12,5.66
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2016-12,8415,monthly,117.34,472718,0.43,5.04
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-01,6884,monthly,118.23,476304,0.76,4.12
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-02,7018,monthly,118.17,476037,-0.06,3.99
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-03,8464,monthly,117.3,472521,-0.74,1.69
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-04,6895,monthly,118.53,477510,1.06,3.57
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-05,7252,monthly,118.8,478587,0.23,2.37
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-06,7305,monthly,120.25,484435,1.22,3.49
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-07,6639,monthly,121.66,490089,1.17,3.06
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-08,,monthly,120.27,484510,-1.14,2.66
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2017-09,,monthly,120.04,483568,-0.19,2.5
